A_If_ratio,B_If_ratio,A_Loop_ratio,B_Loop_ratio,A_Assign_ratio,B_Assign_ratio,A_Return_ratio,B_Return_ratio,A_Compare_ratio,B_Compare_ratio,A_AST_Depth,B_AST_Depth,A_AST_Diversity,B_AST_Diversity,A_Unique_Identifiers,B_Unique_Identifiers,A_CFG_Nodes,B_CFG_Nodes,A_CFG_Edges,B_CFG_Edges,A_Cyclomatic,B_Cyclomatic,A_Branch_Density,B_Branch_Density,A_LOC,B_LOC,A_Keyword_Ratio,B_Keyword_Ratio,A_Operator_Ratio,B_Operator_Ratio,A_Unique_Keyword_Count,B_Unique_Keyword_Count,A_Unique_Operator_Count,B_Unique_Operator_Count,AST_Depth_Diff,CFG_Node_Diff,LOC_Diff,Unique_Identifiers_Diff,Keyword_Ratio_Diff,Operator_Ratio_Diff,Unique_Keyword_Count_Diff,Unique_Operator_Count_Diff,Flow_Path_Bin,Label
0.0,0.0,0.04,0.058823529411764705,0.08,0.0,0.0,0.0,0.04,0.0,7,7,0.12,0.058823529411764705,1,1,7,5,7,5,2,2,0.2857142857142857,0.4,5,3,0.09523809523809523,0.1111111111111111,0.14285714285714285,0.05555555555555555,2,2,3,1,0,2,2,0,0.015873015873015872,0.0873015873015873,0,2,2,1
0.0,0.0,0.058823529411764705,0.04,0.0,0.08,0.0,0.0,0.0,0.04,7,7,0.058823529411764705,0.12,1,1,5,7,5,7,2,2,0.4,0.2857142857142857,3,5,0.1111111111111111,0.09523809523809523,0.05555555555555555,0.14285714285714285,2,2,1,3,0,2,2,0,0.015873015873015872,0.0873015873015873,0,2,2,1
0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.08333333333333333,0.07692307692307693,0.0,6,6,0.23076923076923078,0.16666666666666666,1,2,5,3,6,2,3,1,0.6,0.3333333333333333,3,2,0.23076923076923078,0.16666666666666666,0.07692307692307693,0.08333333333333333,3,2,1,1,0,2,1,1,0.06410256410256412,0.006410256410256401,1,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,6,6,0.16666666666666666,0.16666666666666666,2,2,3,3,2,2,1,1,0.3333333333333333,0.3333333333333333,2,2,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,2,2,1,1,0,0,0,0,0.0,0.0,0,0,2,1
0.0,0.0,0.05555555555555555,0.038461538461538464,0.0,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,7,7,0.05555555555555555,0.11538461538461539,2,2,5,7,5,7,2,2,0.4,0.2857142857142857,3,5,0.1111111111111111,0.09523809523809523,0.05555555555555555,0.14285714285714285,2,2,1,3,0,2,2,0,0.015873015873015872,0.0873015873015873,0,2,2,1
0.0,0.0,0.06666666666666667,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,0.0,0.030303030303030304,7,8,0.06666666666666667,0.09090909090909091,2,2,5,7,5,7,2,2,0.4,0.2857142857142857,3,5,0.13333333333333333,0.07407407407407407,0.06666666666666667,0.1111111111111111,2,2,1,3,1,2,2,0,0.05925925925925926,0.04444444444444444,0,2,2,1
0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.058823529411764705,0.05555555555555555,0.058823529411764705,6,7,0.16666666666666666,0.11764705882352941,2,2,6,3,7,2,3,1,0.5,0.3333333333333333,4,2,0.17647058823529413,0.25,0.058823529411764705,0.0625,3,4,1,1,1,3,2,0,0.07352941176470587,0.003676470588235295,1,0,0,1
0.0,0.07692307692307693,0.05555555555555555,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,7,6,0.05555555555555555,0.23076923076923078,2,1,5,5,5,6,2,3,0.4,0.6,3,3,0.1111111111111111,0.23076923076923078,0.05555555555555555,0.07692307692307693,2,3,1,1,1,0,0,1,0.11965811965811968,0.021367521367521375,1,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.1,0.0,0.0,6,7,0.16666666666666666,0.1,2,1,3,3,2,2,1,1,0.3333333333333333,0.3333333333333333,2,2,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,2,2,1,0,1,0,0,1,0.0,0.08333333333333333,0,1,2,0
0.04,0.0,0.0,0.05555555555555555,0.0,0.0,0.08,0.0,0.04,0.0,8,7,0.16,0.05555555555555555,2,2,6,5,7,5,3,2,0.5,0.4,4,3,0.13636363636363635,0.1111111111111111,0.13636363636363635,0.05555555555555555,3,2,3,1,1,1,1,0,0.02525252525252525,0.0808080808080808,1,2,0,0
0.037037037037037035,0.02857142857142857,0.037037037037037035,0.02857142857142857,0.0,0.05714285714285714,0.0,0.0,0.037037037037037035,0.05714285714285714,8,8,0.14814814814814814,0.14285714285714285,2,2,7,9,8,10,3,3,0.42857142857142855,0.3333333333333333,4,6,0.12,0.10714285714285714,0.12,0.17857142857142858,3,3,3,5,0,2,2,0,0.012857142857142859,0.05857142857142858,0,2,2,1
0.0,0.0,0.04,0.027777777777777776,0.08,0.1111111111111111,0.04,0.027777777777777776,0.0,0.027777777777777776,6,7,0.12,0.1388888888888889,3,3,7,9,7,9,2,2,0.2857142857142857,0.2222222222222222,5,7,0.13636363636363635,0.1111111111111111,0.13636363636363635,0.14814814814814814,3,3,3,4,1,2,2,0,0.02525252525252525,0.011784511784511786,0,1,2,1
0.037037037037037035,0.022222222222222223,0.037037037037037035,0.022222222222222223,0.07407407407407407,0.08888888888888889,0.037037037037037035,0.022222222222222223,0.037037037037037035,0.044444444444444446,7,8,0.18518518518518517,0.1111111111111111,3,3,9,11,10,12,3,3,0.3333333333333333,0.2727272727272727,6,8,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.1111111111111111,4,4,4,4,1,2,2,0,0.05555555555555555,0.05555555555555555,0,0,2,1
0.03125,0.018518518518518517,0.03125,0.018518518518518517,0.0625,0.07407407407407407,0.03125,0.018518518518518517,0.03125,0.037037037037037035,7,8,0.15625,0.09259259259259259,3,3,9,11,10,12,3,3,0.3333333333333333,0.2727272727272727,6,8,0.14814814814814814,0.09523809523809523,0.1111111111111111,0.09523809523809523,4,4,3,4,1,2,2,0,0.05291005291005291,0.015873015873015872,0,1,2,1
0.0,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.058823529411764705,0.034482758620689655,0.0,0.0,7,8,0.11764705882352941,0.13793103448275862,2,3,3,7,2,7,1,2,0.3333333333333333,0.2857142857142857,2,5,0.1875,0.12,0.125,0.12,3,3,2,3,1,4,3,1,0.0675,0.0050000000000000044,0,1,0,1
0.05263157894736842,0.02702702702702703,0.05263157894736842,0.02702702702702703,0.0,0.05405405405405406,0.10526315789473684,0.05405405405405406,0.05263157894736842,0.05405405405405406,7,8,0.21052631578947367,0.13513513513513514,2,2,8,10,10,12,4,4,0.5,0.4,5,7,0.2,0.125,0.1,0.125,4,4,2,4,1,2,2,0,0.07500000000000001,0.024999999999999994,0,2,2,1
0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,7,6,0.05555555555555555,0.18181818181818182,2,1,5,3,5,2,2,1,0.4,0.3333333333333333,3,2,0.1111111111111111,0.2,0.05555555555555555,0.1,2,2,1,1,1,2,1,1,0.0888888888888889,0.04444444444444445,0,0,0,0
0.04,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.08,0.0,0.04,0.037037037037037035,8,8,0.16,0.14814814814814814,2,2,6,7,7,8,3,3,0.5,0.42857142857142855,4,4,0.13636363636363635,0.12,0.13636363636363635,0.12,3,3,3,3,0,1,0,0,0.016363636363636358,0.016363636363636358,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.1,0.07692307692307693,0.0,7,7,0.23076923076923078,0.1,1,1,3,3,2,2,1,1,0.3333333333333333,0.3333333333333333,2,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,2,2,2,0,0,0,0,0,0.0,0.16666666666666666,0,2,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,6,6,0.1,0.1,1,1,3,3,2,2,1,1,0.3333333333333333,0.3333333333333333,2,2,0.18181818181818182,0.18181818181818182,0.0,0.0,2,2,0,0,0,0,0,0,0.0,0.0,0,0,2,0
0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.09523809523809523,0.1,0.047619047619047616,0.0,7,6,0.19047619047619047,0.1,3,1,8,3,10,2,4,1,0.5,0.3333333333333333,5,2,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,4,2,2,0,1,5,3,2,0.0,0.09090909090909091,2,2,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.1111111111111111,0.0,0.0,7,6,0.13333333333333333,0.1111111111111111,1,1,3,3,2,2,1,1,0.3333333333333333,0.3333333333333333,2,2,0.16666666666666666,0.2222222222222222,0.08333333333333333,0.1111111111111111,2,2,1,1,1,0,0,0,0.05555555555555555,0.027777777777777776,0,0,2,0
0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.05263157894736842,7,7,0.21052631578947367,0.21052631578947367,2,2,8,8,10,10,4,4,0.5,0.5,5,5,0.2,0.2,0.1,0.1,4,4,2,2,0,0,0,0,0.0,0.0,0,0,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,6,4,0.0,0.2,0,0,3,3,2,2,1,1,0.3333333333333333,0.3333333333333333,2,2,0.1111111111111111,0.2857142857142857,0.0,0.0,1,2,0,0,2,0,0,0,0.1746031746031746,0.0,1,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,6,6,0.16666666666666666,0.16666666666666666,2,2,3,3,2,2,1,1,0.3333333333333333,0.3333333333333333,2,2,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,2,2,1,1,0,0,0,0,0.0,0.0,0,0,2,0
0.037037037037037035,0.022222222222222223,0.037037037037037035,0.022222222222222223,0.07407407407407407,0.08888888888888889,0.037037037037037035,0.022222222222222223,0.037037037037037035,0.044444444444444446,7,8,0.18518518518518517,0.1111111111111111,3,3,9,11,10,12,3,3,0.3333333333333333,0.2727272727272727,6,8,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.08333333333333333,4,4,4,3,1,2,2,0,0.05555555555555555,0.08333333333333333,0,1,2,1
0.0,0.0,0.0,0.0,0.0,0.0625,0.1,0.0625,0.0,0.0,6,6,0.2,0.1875,1,2,3,4,2,3,1,1,0.3333333333333333,0.25,2,3,0.2,0.15384615384615385,0.1,0.15384615384615385,2,2,1,2,0,1,1,1,0.046153846153846156,0.05384615384615385,0,1,2,1
0.029411764705882353,0.023809523809523808,0.029411764705882353,0.023809523809523808,0.058823529411764705,0.09523809523809523,0.029411764705882353,0.023809523809523808,0.029411764705882353,0.047619047619047616,8,8,0.17647058823529413,0.14285714285714285,3,3,9,11,10,12,3,3,0.3333333333333333,0.2727272727272727,6,8,0.13793103448275862,0.125,0.1724137931034483,0.15625,4,4,5,5,0,2,2,0,0.012931034482758619,0.016163793103448287,0,0,2,1
0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.09523809523809523,0.08333333333333333,0.047619047619047616,0.08333333333333333,7,6,0.19047619047619047,0.16666666666666666,3,2,8,3,10,2,4,1,0.5,0.3333333333333333,5,2,0.18181818181818182,0.16666666666666666,0.09090909090909091,0.08333333333333333,4,2,2,1,1,5,3,1,0.015151515151515166,0.007575757575757583,2,1,0,1
0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.1,0.14285714285714285,0.1,0.07142857142857142,6,6,0.2,0.21428571428571427,1,1,3,6,2,7,1,3,0.3333333333333333,0.5,2,4,0.2,0.2,0.1,0.06666666666666667,2,3,1,1,0,3,2,0,0.0,0.03333333333333334,1,0,0,1
0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.05,0.03333333333333333,0.0,0.0,7,6,0.1,0.1,2,4,3,5,2,4,1,1,0.3333333333333333,0.2,2,4,0.125,0.09090909090909091,0.125,0.13636363636363635,2,2,2,3,1,2,2,2,0.03409090909090909,0.011363636363636354,0,1,2,1
0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.1,0.0,0.0,0.0,6,7,0.1,0.06666666666666667,1,2,3,5,2,5,1,2,0.3333333333333333,0.4,2,3,0.18181818181818182,0.13333333333333333,0.0,0.06666666666666667,2,2,0,1,1,2,1,1,0.04848484848484849,0.06666666666666667,0,1,0,0
0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.07692307692307693,0.04,0.0,8,7,0.16,0.07692307692307693,2,1,6,3,7,2,3,1,0.5,0.3333333333333333,4,2,0.13636363636363635,0.14285714285714285,0.13636363636363635,0.07142857142857142,3,2,3,1,1,3,2,1,0.006493506493506496,0.06493506493506493,1,2,0,0
