Code1_Raw,Code2_Raw,Label
"def g(y):
    i = 0
    while i < 30:
        print(i)
        i += 1","def f(x):
    for i in range(30):
        print(i)",1
"def h(a):
    for i in range(30):
        print(i)","def p(b):
    i = 0
    while i < 30:
        print(i)
        i += 1",1
"def k(x):
    if x > 0:
        return x","def add(a, b):
        return a + b",0
"def add(a,b):
    return a+b","def add(a, b):
        return a + b",1
"def f(n):
    for i in range(n):
        print(i)","def g(n):
    i = 0
    while i < n:
        print(i)
        i += 1",1
"def count(lst):
    for x in lst:
        print(x)","def count(lst):
    i = 0
    while i < len(lst):
        print(lst[i])
        i += 1",1
"def max_val(a, b):
    if a > b:
        return a
    return b","def maximum(x, y):
    return x if x > y else y",1
"def f(n):
    for i in range(n):
        print(i)","def g(x):
    if x > 0:
        return x",0
"def sum_vals(a, b):
    return a + b","def upper(s):
    return s.upper()",0
"def fact(n):
    if n == 0:
        return 1
    return n * fact(n-1)","def print_nums(n):
    for i in range(n):
        print(i)",0
"def print_even(n):
    for i in range(n):
        if i % 2 == 0:
            print(i)","def show_even(n):
    i = 0
    while i < n:
        if i % 2 == 0:
            print(i)
        i += 1",1
"def sum_n(n):
    s = 0
    for i in range(n):
        s += i
    return s","def sum_n(n):
    s = 0
    i = 0
    while i < n:
        s = s + i
        i += 1
    return s",1
"def count_pos(lst):
    c = 0
    for x in lst:
        if x > 0:
            c += 1
    return c","def count_pos(lst):
    c = 0
    i = 0
    while i < len(lst):
        if lst[i] > 0:
            c += 1
        i += 1
    return c",1
"def max_list(lst):
    m = lst[0]
    for x in lst:
        if x > m:
            m = x
    return m","def max_list(lst):
    m = lst[0]
    i = 1
    while i < len(lst):
        if lst[i] > m:
            m = lst[i]
        i += 1
    return m",1
"def square_list(lst):
    return [x*x for x in lst]","def square_list(lst):
    res = []
    for x in lst:
        res.append(x*x)
    return res",1
"def find_zero(lst):
    for x in lst:
        if x == 0:
            return True
    return False","def find_zero(lst):
    i = 0
    while i < len(lst):
        if lst[i] == 0:
            return True
        i += 1
    return False",1
"def print_nums(n):
    for i in range(n):
        print(i)","def square(x):
    return x * x",0
"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n-1)","def print_even(n):
    for i in range(n):
        if i % 2 == 0:
            print(i)",0
"def is_even(x):
    return x % 2 == 0","def to_upper(s):
    return s.upper()",0
"def sum_list(lst):
    return sum(lst)","def length(lst):
    return len(lst)",0
"def search(lst, x):
    for v in lst:
        if v == x:
            return True
    return False","def count(lst):
    return len(lst)",0
"def cube(x):
    return x*x*x","def negate(x):
    return -x",0
"def all_positive(lst):
    for x in lst:
        if x <= 0:
            return False
    return True","def any_positive(lst):
    for x in lst:
        if x > 0:
            return True
    return False",0
"def print_msg():
    print(""Hello"")","def return_msg():
    return ""Hello""",0
"def power(a, b):
    return a ** b","def add(a, b):
    return a + b",0
